fn,title
print.nop,1. print
not.nop,2. not
or.nop,3. or
and.nop,4. and
halfadd.nop,5. half add
fulladd.nop,6. full add
array.nop,7. array
add.nop,8. 4bit add
sub.nop,9. 4bit sub
mul.nop,10. 4bit mul
